datetime,wavelengths,mean,std,max,min
20200101010021,"[0.4699999988079071, 0.6399999856948853, 0.8700000047683716, 1.3799999952316284, 1.6100000143051147, 2.25, 3.890000104904175, 6.170000076293945, 6.929999828338623, 7.340000152587891, 8.4399995803833, 9.609999656677246, 10.329999923706055, 11.1899995803833, 12.270000457763672, 13.270000457763672]","[28.171156, 19.210163, 13.617682, 0.659956, 2.752156, 0.748877, 0.47637, 2.774464, 7.602324, 13.088783, 39.35439, 37.557545, 69.22085, 79.29145, 87.70994, 79.86554]","[71.068855, 53.009712, 38.46162, 3.463629, 8.00774, 2.100123, 0.443328, 1.053155, 2.699502, 4.53714, 14.702641, 11.968159, 22.657501, 24.92089, 25.519058, 19.337189]","[804.0361, 628.6211, 372.8076, 63.395058, 95.06721, 30.098692, 8.983927, 6.547606, 16.292883, 24.413946, 63.395058, 60.14663, 103.18826, 116.18198, 125.927246, 109.68512]","[-0.761351, -1.573456, 0.050756, -0.761351, -0.761351, 0.050756, 0.050756, 0.050756, 0.862864, 0.862864, 2.487076, 8.983927, 6.547606, 8.983927, 12.232351, 16.292883]"
20200101040021,"[0.4699999988079071, 0.6399999856948853, 0.8700000047683716, 1.3799999952316284, 1.6100000143051147, 2.25, 3.890000104904175, 6.170000076293945, 6.929999828338623, 7.340000152587891, 8.4399995803833, 9.609999656677246, 10.329999923706055, 11.1899995803833, 12.270000457763672, 13.270000457763672]","[4.708268, 3.81798, 3.426911, 0.305898, 0.85549, 0.28942, 0.422607, 2.778664, 7.624362, 13.129129, 39.18047, 37.412094, 68.98922, 79.09914, 87.61175, 79.95232]","[37.773594, 32.27736, 28.09804, 3.38721, 6.970144, 2.118112, 0.564541, 1.035857, 2.649208, 4.449557, 14.412035, 11.738714, 22.176588, 24.379425, 24.938051, 18.86832]","[804.0361, 628.6211, 372.8076, 140.54517, 95.06721, 30.098692, 25.226053, 6.547606, 15.480776, 24.413946, 62.582947, 59.33453, 101.56406, 115.36986, 125.11514, 108.87302]","[-0.761351, -1.573456, 0.050756, -0.761351, -0.761351, 0.050756, 0.050756, 0.050756, 0.862864, 0.862864, 2.487076, 8.983927, 6.547606, 8.983927, 12.232351, 16.292883]"
20200101080021,"[0.4699999988079071, 0.6399999856948853, 0.8700000047683716, 1.3799999952316284, 1.6100000143051147, 2.25, 3.890000104904175, 6.170000076293945, 6.929999828338623, 7.340000152587891, 8.4399995803833, 9.609999656677246, 10.329999923706055, 11.1899995803833, 12.270000457763672, 13.270000457763672]","[21.40523, 16.577389, 12.509282, 0.538134, 2.730222, 0.752393, 0.458184, 2.777349, 7.622311, 13.148306, 39.138573, 37.328163, 68.99806, 79.14105, 87.71759, 80.132324]","[73.34568, 61.04802, 45.49642, 2.769659, 10.287006, 2.755083, 0.613515, 1.019972, 2.608824, 4.391098, 14.171525, 11.577433, 21.830345, 23.987259, 24.536467, 18.619587]","[804.0361, 628.6211, 372.8076, 73.95244, 95.06721, 30.098692, 25.226053, 6.547606, 15.480776, 23.601843, 62.582947, 60.14663, 102.37616, 115.36986, 125.11514, 108.87302]","[-0.761351, -1.573456, 0.050756, 0.050756, -0.761351, 0.050756, 0.050756, 0.050756, 0.862864, 0.862864, 2.487076, 8.983927, 6.547606, 8.983927, 12.232351, 16.292883]"
20200101110021,"[0.4699999988079071, 0.6399999856948853, 0.8700000047683716, 1.3799999952316284, 1.6100000143051147, 2.25, 3.890000104904175, 6.170000076293945, 6.929999828338623, 7.340000152587891, 8.4399995803833, 9.609999656677246, 10.329999923706055, 11.1899995803833, 12.270000457763672, 13.270000457763672]","[54.672546, 34.46566, 24.144894, 1.469266, 4.027926, 1.10615, 0.485932, 2.783348, 7.656036, 13.227072, 39.75636, 37.709835, 69.9856, 80.20592, 88.73716, 80.77863]","[84.29308, 59.376125, 40.41852, 4.720616, 6.651476, 1.88947, 0.406685, 1.016354, 2.605788, 4.388758, 14.237027, 11.664017, 21.961412, 24.083729, 24.582417, 18.663025]","[656.2327, 628.6211, 370.37128, 72.328224, 73.140335, 18.729204, 2.487076, 6.547606, 16.292883, 23.601843, 62.582947, 59.33453, 103.18826, 116.99408, 125.927246, 108.87302]","[-0.761351, -1.573456, -2.385563, -0.761351, -0.761351, 0.050756, 0.050756, 0.050756, 0.862864, 0.862864, 1.674969, 8.983927, 5.7355, 8.17182, 10.608141, 14.668673]"
20200101120021,"[0.4699999988079071, 0.6399999856948853, 0.8700000047683716, 1.3799999952316284, 1.6100000143051147, 2.25, 3.890000104904175, 6.170000076293945, 6.929999828338623, 7.340000152587891, 8.4399995803833, 9.609999656677246, 10.329999923706055, 11.1899995803833, 12.270000457763672, 13.270000457763672]","[71.753525, 44.221672, 31.184332, 1.674046, 4.943188, 1.311389, 0.514061, 2.788118, 7.67576, 13.269777, 40.14425, 37.986767, 70.58531, 80.82623, 89.30406, 81.11651]","[92.73704, 66.46535, 45.285362, 5.21037, 6.952667, 1.928908, 0.402687, 1.020679, 2.613798, 4.404601, 14.387441, 11.814442, 22.18378, 24.289833, 24.745895, 18.759308]","[664.3537, 519.7988, 320.83276, 72.328224, 52.025566, 11.420244, 2.487076, 6.547606, 16.292883, 25.226053, 66.64348, 59.33453, 108.87302, 123.49092, 133.2362, 112.93354]","[-0.761351, -1.573456, -1.573456, -0.761351, -0.761351, 0.050756, 0.050756, 0.050756, 0.862864, 0.862864, 2.487076, 8.983927, 6.547606, 8.983927, 12.232351, 16.292883]"
20200101130021,"[0.4699999988079071, 0.6399999856948853, 0.8700000047683716, 1.3799999952316284, 1.6100000143051147, 2.25, 3.890000104904175, 6.170000076293945, 6.929999828338623, 7.340000152587891, 8.4399995803833, 9.609999656677246, 10.329999923706055, 11.1899995803833, 12.270000457763672, 13.270000457763672]","[94.01192, 56.948235, 40.07897, 1.851214, 6.260675, 1.618151, 0.550639, 2.793695, 7.69331, 13.307309, 40.5318, 38.27896, 71.17303, 81.43408, 89.84807, 81.43063]","[102.0509, 75.09297, 51.193405, 5.677454, 7.627748, 2.050318, 0.40149, 1.026118, 2.625134, 4.42983, 14.616071, 12.029325, 22.51652, 24.6132, 25.015081, 18.92326]","[753.6855, 596.13684, 372.8076, 75.57665, 65.831375, 12.232351, 2.487076, 6.547606, 16.292883, 29.286585, 79.637184, 68.26769, 126.73935, 144.6057, 155.16307, 125.11514]","[-0.761351, -2.385563, -4.009775, -0.761351, -0.761351, 0.050756, 0.050756, 0.050756, 0.862864, 0.862864, 2.487076, 8.983927, 7.359712, 9.796034, 13.044458, 17.10499]"
20200101160021,"[0.4699999988079071, 0.6399999856948853, 0.8700000047683716, 1.3799999952316284, 1.6100000143051147, 2.25, 3.890000104904175, 6.170000076293945, 6.929999828338623, 7.340000152587891, 8.4399995803833, 9.609999656677246, 10.329999923706055, 11.1899995803833, 12.270000457763672, 13.270000457763672]","[167.06311, 99.07936, 68.45731, 2.847703, 10.939013, 2.751962, 0.665158, 2.804059, 7.711256, 13.341249, 41.414112, 38.96591, 72.47726, 82.7234, 90.92177, 81.93002]","[116.91637, 95.0807, 64.73417, 7.13886, 9.877495, 2.479661, 0.413993, 1.044657, 2.678946, 4.538161, 15.46108, 12.727559, 23.741632, 25.819925, 26.085361, 19.607138]","[804.0361, 628.6211, 372.8076, 82.885605, 64.20716, 18.729204, 5.7355, 6.547606, 19.541311, 37.407646, 108.06091, 85.32193, 161.65993, 179.52626, 187.64732, 147.042]","[-0.761351, -1.573456, -4.009775, -0.761351, -1.573456, 0.050756, 0.050756, 0.050756, 0.862864, 0.862864, 2.487076, 9.796034, 7.359712, 9.796034, 13.856565, 17.917097]"
20200101170021,"[0.4699999988079071, 0.6399999856948853, 0.8700000047683716, 1.3799999952316284, 1.6100000143051147, 2.25, 3.890000104904175, 6.170000076293945, 6.929999828338623, 7.340000152587891, 8.4399995803833, 9.609999656677246, 10.329999923706055, 11.1899995803833, 12.270000457763672, 13.270000457763672]","[172.02245, 101.14628, 69.69782, 3.11148, 11.043307, 2.806595, 0.677929, 2.80015, 7.70038, 13.317842, 41.527706, 39.061157, 72.619064, 82.85135, 90.985985, 81.875404]","[114.63166, 94.42598, 64.20156, 7.596488, 9.661748, 2.442856, 0.41722, 1.051369, 2.704112, 4.585835, 15.67646, 12.894627, 24.071804, 26.168524, 26.43317, 19.870993]","[804.0361, 628.6211, 372.8076, 83.697716, 67.45559, 19.541311, 4.923395, 6.547606, 18.729204, 37.407646, 105.624596, 86.94614, 163.28413, 180.33838, 185.21101, 149.47833]","[0.050756, -1.573456, -4.821882, -0.761351, -0.761351, 0.050756, 0.050756, 0.050756, 0.862864, 0.862864, 2.487076, 9.796034, 7.359712, 9.796034, 13.044458, 17.10499]"
20200101220021,"[0.4699999988079071, 0.6399999856948853, 0.8700000047683716, 1.3799999952316284, 1.6100000143051147, 2.25, 3.890000104904175, 6.170000076293945, 6.929999828338623, 7.340000152587891, 8.4399995803833, 9.609999656677246, 10.329999923706055, 11.1899995803833, 12.270000457763672, 13.270000457763672]","[64.65841, 38.113544, 25.16392, 1.281143, 4.224018, 1.120699, 0.543907, 2.78057, 7.643858, 13.199428, 40.5823, 38.428337, 71.10127, 81.28799, 89.559395, 80.95776]","[81.147064, 56.69668, 37.775642, 3.947583, 6.177954, 1.665882, 0.409534, 1.073386, 2.772818, 4.693442, 15.367908, 12.604993, 23.663233, 25.943329, 26.499306, 20.147617]","[574.20996, 474.3209, 272.9185, 60.958733, 62.582947, 14.668673, 8.983927, 6.547606, 16.292883, 25.226053, 73.95244, 65.831375, 121.05461, 137.29674, 144.6057, 117.80618]","[-0.761351, -1.573456, -2.385563, -0.761351, -0.761351, 0.050756, 0.050756, 0.050756, 0.050756, 0.862864, 1.674969, 8.983927, 5.7355, 7.359712, 10.608141, 14.668673]"
20200101230021,"[0.4699999988079071, 0.6399999856948853, 0.8700000047683716, 1.3799999952316284, 1.6100000143051147, 2.25, 3.890000104904175, 6.170000076293945, 6.929999828338623, 7.340000152587891, 8.4399995803833, 9.609999656677246, 10.329999923706055, 11.1899995803833, 12.270000457763672, 13.270000457763672]","[49.210266, 29.678112, 19.54645, 0.93255, 3.517513, 0.942278, 0.53577, 2.782451, 7.65733, 13.22151, 40.406975, 38.307335, 70.83153, 81.03799, 89.38472, 80.94091]","[75.9935, 52.52784, 35.59062, 3.473211, 6.329064, 1.706198, 0.421331, 1.069327, 2.759228, 4.660886, 15.127732, 12.417076, 23.276712, 25.549885, 26.128902, 19.893143]","[639.9906, 628.6211, 372.8076, 56.086098, 95.06721, 25.226053, 5.7355, 6.547606, 16.292883, 25.226053, 67.45559, 61.770844, 111.309326, 125.927246, 134.04831, 112.93354]","[-0.761351, -1.573456, -2.385563, -0.761351, -0.761351, 0.050756, 0.050756, 0.050756, 0.050756, 0.862864, 1.674969, 8.983927, 4.923395, 6.547606, 9.796034, 13.856565]"
