datetime,wavelengths,mean,std,max,min
20200101015744,"[1.64, 3.92, 8.7, 9.66, 10.8, 12.0, 13.4, 0.64, 0.81, 6.25, 7.35]","[0.312408, 0.38829, 43.463512, 39.147575, 74.474686, 86.053375, 74.097374, 0.250677, 0.373251, 3.088662, 13.460734]","[1.779292, 0.242063, 14.968102, 11.730471, 22.121067, 23.867996, 15.974548, 1.485217, 2.19564, 1.059563, 4.344116]","[17.825924, 3.556224, 69.582634, 63.00031, 110.9243, 124.49424, 100.08038, 20.28078, 26.242464, 6.363354, 22.632471]","[0.0, 0.0, 2.281397, 8.316874, 5.946034, 9.114757, 15.445477, 0.0, 0.0, 0.191317, 0.695195]"
20200101025743,"[1.64, 3.92, 8.7, 9.66, 10.8, 12.0, 13.4, 0.64, 0.81, 6.25, 7.35]","[0.522724, 0.400351, 43.382404, 39.0486, 74.322655, 85.90442, 74.04024, 0.461483, 0.611725, 3.092174, 13.462241]","[2.026583, 0.248757, 14.886662, 11.633692, 21.981073, 23.707773, 15.86154, 1.760462, 2.366662, 1.057777, 4.320429]","[18.221022, 3.461099, 69.70937, 62.89635, 111.12933, 124.938866, 100.23799, 20.28078, 25.71372, 6.321765, 22.55523]","[0.0, 0.0, 2.281397, 8.420834, 6.356106, 10.004003, 16.075905, 0.0, 0.0, 0.191317, 0.656574]"
20200101035743,"[1.64, 3.92, 8.7, 9.66, 10.8, 12.0, 13.4, 0.64, 0.81, 6.25, 7.35]","[0.695465, 0.413608, 43.362305, 39.009678, 74.30057, 85.95942, 74.08708, 0.684887, 0.852925, 3.094546, 13.468701]","[2.044643, 0.266582, 14.8266, 11.558887, 21.882044, 23.605385, 15.779506, 1.947373, 2.459353, 1.056168, 4.298665]","[17.802683, 3.344022, 69.45589, 62.58447, 110.71926, 124.271935, 99.922775, 20.28078, 25.658062, 6.305128, 22.671095]","[0.0, 0.0, 2.154653, 8.524796, 6.15107, 9.33707, 15.445477, 0.0, 0.0, 0.191317, 0.695195]"
20200101065743,"[1.64, 3.92, 8.7, 9.66, 10.8, 12.0, 13.4, 0.64, 0.81, 6.25, 7.35]","[1.481619, 0.468187, 44.639984, 39.787704, 76.18354, 87.67153, 74.62554, 1.498209, 1.925875, 3.107893, 13.51368]","[1.98264, 0.250724, 15.469162, 12.022978, 22.803238, 24.42249, 15.973661, 2.198424, 2.761748, 1.061172, 4.290566]","[16.803314, 3.340363, 84.79195, 68.51024, 129.37752, 143.39069, 102.91731, 20.28078, 24.8232, 6.579626, 23.5594]","[0.0, 0.0, 2.408142, 8.316874, 6.561142, 9.33707, 16.075905, 0.0, 0.0, 0.191317, 0.733818]"
20200101075744,"[1.64, 3.92, 8.7, 9.66, 10.8, 12.0, 13.4, 0.64, 0.81, 6.25, 7.35]","[1.963704, 0.509856, 45.613323, 40.430172, 77.590416, 88.97309, 75.12247, 1.936632, 2.509466, 3.115838, 13.5572]","[2.241492, 0.279098, 16.01098, 12.508004, 23.617785, 25.207891, 16.279707, 2.421791, 3.046796, 1.066, 4.317528]","[17.407583, 3.380608, 93.41056, 74.12412, 142.49979, 156.28473, 107.645515, 20.28078, 26.409437, 6.845805, 24.254597]","[0.0, 0.0, 2.408142, 8.420834, 6.766176, 10.004003, 16.075905, 0.0, 0.0, 0.216271, 0.811061]"
20200101095743,"[1.64, 3.92, 8.7, 9.66, 10.8, 12.0, 13.4, 0.64, 0.81, 6.25, 7.35]","[3.14885, 0.622593, 47.627113, 41.795258, 80.48502, 91.79888, 76.11561, 3.065988, 3.976467, 3.1309, 13.657381]","[2.78317, 0.357966, 17.279991, 13.611442, 25.530598, 27.106176, 16.972744, 2.761256, 3.503058, 1.073217, 4.390642]","[16.431458, 3.329387, 111.78849, 82.9608, 167.71918, 179.84972, 116.15629, 19.65483, 23.515253, 6.91235, 25.4905]","[0.0, 0.0, 2.281397, 8.524796, 6.766176, 10.448625, 16.706333, 0.0, 0.0, 0.241225, 0.733818]"
20200101105744,"[1.64, 3.92, 8.7, 9.66, 10.8, 12.0, 13.4, 0.64, 0.81, 6.25, 7.35]","[3.554754, 0.679005, 48.277073, 42.216045, 81.39636, 92.66745, 76.43395, 3.536065, 4.559921, 3.134884, 13.681358]","[2.890855, 0.385619, 17.789846, 14.013966, 26.298716, 27.884588, 17.274355, 2.895455, 3.661465, 1.076517, 4.430684]","[14.711617, 3.556224, 116.985, 86.18359, 175.30551, 185.18518, 118.362785, 20.19732, 24.183142, 6.987213, 25.72223]","[0.0, 0.0, 2.154653, 8.316874, 6.356106, 10.004003, 16.233513, 0.0, 0.0, 0.182998, 0.695195]"
20200101125743,"[1.64, 3.92, 8.7, 9.66, 10.8, 12.0, 13.4, 0.64, 0.81, 6.25, 7.35]","[3.447206, 0.683317, 48.37995, 42.29218, 81.43613, 92.764046, 76.28501, 3.585393, 4.588835, 3.131792, 13.648553]","[2.713255, 0.381105, 18.227076, 14.306552, 26.9965, 28.7355, 17.764292, 2.957858, 3.71048, 1.090384, 4.542982]","[13.224187, 3.556224, 116.85826, 85.97567, 175.51054, 185.4075, 118.362785, 20.28078, 24.350113, 7.103668, 26.26294]","[0.0, 0.0, 2.027909, 8.420834, 5.535963, 8.892446, 15.130263, 0.0, 0.0, 0.207953, 0.656574]"
20200101185744,"[1.64, 3.92, 8.7, 9.66, 10.8, 12.0, 13.4, 0.64, 0.81, 6.25, 7.35]","[0.849142, 0.438586, 44.285957, 39.65028, 75.40059, 86.80385, 73.8595, 1.002222, 1.263076, 3.110432, 13.359097]","[1.719203, 0.230948, 16.157202, 12.430345, 24.04184, 25.99171, 17.12887, 2.07584, 2.672797, 1.118049, 4.593414]","[17.198414, 3.318411, 74.90589, 63.31219, 129.17247, 138.94446, 100.55321, 20.28078, 25.797203, 7.012168, 24.486328]","[0.0, 0.0, 1.901164, 8.524796, 5.535963, 8.225512, 14.027015, 0.0, 0.0, 0.166362, 0.617952]"
20200101205743,"[1.64, 3.92, 8.7, 9.66, 10.8, 12.0, 13.4, 0.64, 0.81, 6.25, 7.35]","[0.532443, 0.417106, 43.86012, 39.366978, 74.827675, 86.224205, 73.69123, 0.500606, 0.675118, 3.114748, 13.354229]","[1.769089, 0.235403, 15.76264, 12.094778, 23.4232, 25.319822, 16.703255, 1.628852, 2.206895, 1.106516, 4.512754]","[18.430193, 3.428171, 69.582634, 63.00031, 111.539406, 126.49505, 99.44996, 20.28078, 27.049498, 6.879078, 24.293219]","[0.0, 0.0, 2.027909, 8.524796, 5.740999, 8.892446, 14.815049, 0.0, 0.0, 0.17468, 0.617952]"
20200101215744,"[1.64, 3.92, 8.7, 9.66, 10.8, 12.0, 13.4, 0.64, 0.81, 6.25, 7.35]","[0.387596, 0.407869, 43.75095, 39.27835, 74.65837, 86.11953, 73.68707, 0.320049, 0.458123, 3.117217, 13.361277]","[1.869177, 0.264036, 15.579086, 11.94511, 23.125395, 25.012108, 16.491726, 1.557245, 2.214702, 1.099696, 4.467039]","[18.941496, 3.556224, 69.70937, 62.89635, 110.9243, 125.38349, 99.60757, 20.28078, 27.049498, 6.87076, 23.984243]","[0.0, 0.0, 1.77442, 8.524796, 5.535963, 8.670135, 14.342229, 0.0, 0.0, 0.17468, 0.502086]"
20200101225743,"[1.64, 3.92, 8.7, 9.66, 10.8, 12.0, 13.4, 0.64, 0.81, 6.25, 7.35]","[0.220513, 0.393134, 43.58988, 39.148212, 74.43389, 85.87575, 73.63633, 0.18083, 0.272988, 3.11645, 13.359295]","[1.605636, 0.277541, 15.425369, 11.817273, 22.878496, 24.738098, 16.302917, 1.449617, 2.081739, 1.093923, 4.426584]","[19.847898, 3.556224, 69.70937, 62.89635, 110.71926, 124.71656, 99.29235, 20.28078, 27.049498, 6.837487, 23.945621]","[0.0, 0.0, 2.027909, 8.420834, 5.535963, 8.447824, 14.499835, 0.0, 0.0, 0.17468, 0.656574]"
20200102035744,"[1.64, 3.92, 8.7, 9.66, 10.8, 12.0, 13.4, 0.64, 0.81, 6.25, 7.35]","[0.692217, 0.412484, 43.26476, 38.865574, 74.10929, 85.56381, 73.632385, 0.690068, 0.858506, 3.118645, 13.377229]","[2.096251, 0.273946, 14.822004, 11.384144, 21.944103, 23.689222, 15.605478, 2.025201, 2.546769, 1.061869, 4.253458]","[18.383707, 3.508662, 69.07565, 62.688427, 110.51423, 124.271935, 98.66193, 20.28078, 27.049498, 6.987213, 22.94145]","[0.0, 0.0, 1.901164, 8.524796, 5.330927, 8.670135, 14.657441, 0.0, 0.0, 0.17468, 0.656574]"
20200102055743,"[1.64, 3.92, 8.7, 9.66, 10.8, 12.0, 13.4, 0.64, 0.81, 6.25, 7.35]","[1.080615, 0.438497, 44.027752, 39.329823, 75.18196, 86.65574, 74.09325, 1.126255, 1.430334, 3.128815, 13.448919]","[1.778624, 0.234505, 15.008108, 11.540525, 22.134733, 23.796108, 15.509349, 1.987774, 2.496164, 1.053366, 4.209296]","[17.384342, 3.556224, 74.652405, 62.376545, 116.05019, 130.05202, 99.13474, 20.28078, 21.956844, 6.987213, 23.173182]","[0.0, 0.0, 2.154653, 8.732716, 5.535963, 8.447824, 15.287869, 0.0, 0.0, 0.216271, 0.695195]"
20200102065744,"[1.64, 3.92, 8.7, 9.66, 10.8, 12.0, 13.4, 0.64, 0.81, 6.25, 7.35]","[1.470342, 0.46837, 44.750774, 39.817204, 76.25174, 87.6516, 74.53566, 1.498323, 1.924752, 3.133834, 13.488065]","[1.940724, 0.247731, 15.315404, 11.815411, 22.56574, 24.154284, 15.599403, 2.184744, 2.756259, 1.051782, 4.201942]","[17.31462, 3.26719, 83.39776, 68.09439, 127.73723, 143.16838, 103.07491, 20.28078, 25.630234, 6.879078, 23.32767]","[0.0, 0.0, 2.534886, 8.836678, 6.561142, 9.559381, 16.548725, 0.0, 0.0, 0.207953, 0.811061]"
20200102115743,"[1.64, 3.92, 8.7, 9.66, 10.8, 12.0, 13.4, 0.64, 0.81, 6.25, 7.35]","[3.607593, 0.698712, 48.62167, 42.41381, 81.82881, 93.12166, 76.55857, 3.624447, 4.640364, 3.144494, 13.652366]","[2.850404, 0.38757, 17.562756, 13.684737, 25.969917, 27.564978, 16.902447, 2.850075, 3.640705, 1.052998, 4.338534]","[13.967901, 3.556224, 117.238495, 85.455864, 174.48535, 189.63141, 119.15082, 20.28078, 24.127483, 6.987213, 29.23683]","[0.0, 0.0, 2.027909, 8.732716, 5.740999, 9.114757, 15.603084, 0.0, 0.0, 0.17468, 0.733818]"
20200102155744,"[1.64, 3.92, 8.7, 9.66, 10.8, 12.0, 13.4, 0.64, 0.81, 6.25, 7.35]","[1.641489, 0.517539, 46.284935, 40.92635, 78.33969, 89.61873, 75.07294, 1.995901, 2.453888, 3.10427, 13.437222]","[1.806078, 0.269381, 16.64514, 12.909448, 24.750204, 26.628853, 17.21119, 2.497541, 3.12869, 1.073004, 4.484308]","[11.574068, 3.537931, 90.622185, 72.66867, 143.1149, 154.95087, 108.11834, 18.15255, 21.817701, 6.787578, 24.447706]","[0.0, 0.0, 1.901164, 8.524796, 5.330927, 8.447824, 14.342229, 0.0, 0.0, 0.158044, 0.57933]"
